Feature Name,Feature Group,Data Type,Source,Formula / Description,As-Of Semantics,Point-In-Time Safe,ML Allowed,Reason if ML Disallowed,Missing Value Meaning,Known Ambiguity,Stage Source
Stock Breakout High 20,SETUP_STRUCTURE,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Close,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Daily ST,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Daily ST Direction,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock High,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Low,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Open,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Range / ATR,VOLATILITY,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Realized Volatility 10D %,VOLATILITY,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Realized Volatility 20D %,VOLATILITY,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Recent High 20,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Relative Volume 20D,VOLUME,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Relative Volume 5D,VOLUME,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Return 10D %,MOMENTUM,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Return 1D %,MOMENTUM,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Return 20D %,MOMENTUM,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Return 5D %,MOMENTUM,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Return 60D %,MOMENTUM,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock SMA20,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock SMA200,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock SMA50,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Same-Day Gap %,VOLATILITY,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,Daily OHLC only,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Swing Low 10,SETUP_STRUCTURE,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Volume,VOLUME,int64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Weekly ST,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stock Weekly ST Direction,STOCK_TREND,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stop Distance ATR,VOLATILITY,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stop Distance R,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Stop Loss,RISK_REWARD,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Stop Revision Count,TRADE_STATE,int64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Support,SETUP_STRUCTURE,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Support Type,SETUP_STRUCTURE,str,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
T1 Distance ATR,VOLATILITY,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
T1 Distance R,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
T2 Distance ATR,VOLATILITY,float64,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
T2 Distance R,RISK_REWARD,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Target 1,RISK_REWARD,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Target 2,RISK_REWARD,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Technical Score,RULE_ENGINE_DERIVED_FEATURES,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Trade Quality,RULE_ENGINE_DERIVED_FEATURES,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Trend Structure,SETUP_STRUCTURE,str,Frozen OHLC / exact Stage 2.1 engine,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Volume Ratio,VOLUME,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Weekly RSI,MOMENTUM,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Weekly ST,STOCK_TREND,str,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Weekly ST Direction,STOCK_TREND,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
